epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,53500.6,0.69669,0.39086,0.83676,0.8125,0.61782,0.71105,0.51254,0.74516,0.45092,0.82639,0.00045017,0.00045017,0.00045017
43,54792.8,0.69464,0.39027,0.83732,0.81591,0.61847,0.71264,0.51363,0.7441,0.44707,0.82623,0.000439671,0.000439671,0.000439671
44,56086.4,0.69378,0.3888,0.83735,0.82062,0.61751,0.71356,0.51428,0.74334,0.44392,0.82617,0.000429087,0.000429087,0.000429087
45,57262.3,0.69362,0.3881,0.83648,0.82354,0.61815,0.71471,0.5152,0.74274,0.44137,0.82603,0.000418428,0.000418428,0.000418428
46,58485.9,0.69229,0.38717,0.83677,0.82362,0.62067,0.7155,0.51583,0.74233,0.43992,0.82595,0.000407705,0.000407705,0.000407705
47,59679.8,0.69142,0.38598,0.83705,0.82352,0.62078,0.71615,0.51657,0.74175,0.43859,0.82586,0.000396928,0.000396928,0.000396928
48,60920.2,0.69015,0.38407,0.83702,0.82385,0.62197,0.71758,0.51738,0.74114,0.43728,0.82579,0.000386109,0.000386109,0.000386109
49,62081,0.68903,0.38336,0.83623,0.82573,0.62245,0.71808,0.51793,0.74059,0.43645,0.82571,0.000375257,0.000375257,0.000375257
50,63337.8,0.68888,0.38187,0.83565,0.82166,0.62672,0.71882,0.5185,0.74003,0.43574,0.82561,0.000364384,0.000364384,0.000364384
51,64535.9,0.68741,0.38063,0.83533,0.8246,0.62701,0.71928,0.51897,0.73968,0.43511,0.82551,0.0003535,0.0003535,0.0003535
52,65801.3,0.68768,0.38046,0.83563,0.82288,0.62899,0.71976,0.51929,0.73921,0.43449,0.82537,0.000342616,0.000342616,0.000342616
53,67041.1,0.68586,0.37994,0.83525,0.82226,0.62895,0.72014,0.51956,0.73891,0.43418,0.82527,0.000331743,0.000331743,0.000331743
54,68239.8,0.68503,0.37786,0.83527,0.82578,0.62848,0.72076,0.52018,0.73854,0.43363,0.82524,0.000320891,0.000320891,0.000320891
55,69491.2,0.68297,0.37681,0.83445,0.8213,0.63114,0.72117,0.52058,0.73828,0.43328,0.82514,0.000310072,0.000310072,0.000310072
56,70759.8,0.68249,0.37606,0.83394,0.82201,0.63083,0.72148,0.52093,0.73794,0.43291,0.82502,0.000299295,0.000299295,0.000299295
57,72073.2,0.6817,0.37506,0.83399,0.82236,0.63123,0.7218,0.52145,0.7377,0.4327,0.825,0.000288572,0.000288572,0.000288572
58,73373.2,0.68042,0.37332,0.83405,0.82472,0.63061,0.72229,0.52187,0.73734,0.43284,0.82491,0.000277913,0.000277913,0.000277913
59,74689.9,0.67957,0.37212,0.83321,0.82005,0.63301,0.72248,0.52215,0.73675,0.43298,0.82478,0.000267329,0.000267329,0.000267329
60,75989.4,0.67832,0.37142,0.83331,0.81965,0.63331,0.72334,0.52246,0.73633,0.43213,0.82473,0.00025683,0.00025683,0.00025683
61,77303.8,0.6785,0.37116,0.83407,0.81787,0.63501,0.72416,0.52314,0.73596,0.4313,0.82476,0.000246426,0.000246426,0.000246426
62,78623.5,0.67753,0.37003,0.83345,0.8211,0.6335,0.72467,0.52348,0.73547,0.43066,0.8247,0.000236127,0.000236127,0.000236127
63,79938.7,0.67458,0.36826,0.83343,0.81847,0.63567,0.72485,0.52372,0.73534,0.43023,0.82474,0.000225945,0.000225945,0.000225945
64,81254.3,0.67507,0.3679,0.83326,0.81839,0.63547,0.72541,0.52428,0.7349,0.42993,0.82478,0.000215888,0.000215888,0.000215888
65,82529.5,0.67431,0.36656,0.83278,0.81647,0.63719,0.72538,0.52434,0.73478,0.43028,0.82479,0.000205967,0.000205967,0.000205967
66,83820.6,0.67238,0.36532,0.83227,0.8172,0.63704,0.72539,0.52467,0.73439,0.43046,0.82476,0.000196192,0.000196192,0.000196192
67,85083.4,0.67218,0.36426,0.83228,0.81674,0.63719,0.72542,0.52485,0.73429,0.43089,0.82478,0.000186572,0.000186572,0.000186572
68,86371.6,0.67133,0.36352,0.83275,0.81708,0.63801,0.72577,0.52541,0.73405,0.43086,0.82479,0.000177117,0.000177117,0.000177117
69,87645.3,0.66998,0.36282,0.83251,0.81949,0.63656,0.72632,0.52555,0.73391,0.43113,0.82491,0.000167836,0.000167836,0.000167836
70,88931.7,0.66987,0.36225,0.83178,0.81857,0.63739,0.72659,0.52566,0.73357,0.43103,0.82493,0.000158738,0.000158738,0.000158738
71,90183.8,0.6698,0.36112,0.83197,0.8209,0.63752,0.72717,0.52622,0.73327,0.43034,0.82492,0.000149832,0.000149832,0.000149832
72,91483,0.66853,0.36024,0.83138,0.82094,0.63786,0.72743,0.52653,0.73309,0.43028,0.82487,0.000141128,0.000141128,0.000141128
73,92772.2,0.66735,0.35923,0.83127,0.81965,0.63842,0.72784,0.52678,0.7331,0.43068,0.8248,0.000132633,0.000132633,0.000132633
74,94072.9,0.66755,0.35865,0.83162,0.8217,0.63817,0.72781,0.52683,0.73296,0.43084,0.8248,0.000124355,0.000124355,0.000124355
75,95337.8,0.66593,0.35767,0.83057,0.8228,0.63716,0.72741,0.52655,0.73284,0.43123,0.8248,0.000116304,0.000116304,0.000116304
76,96627.1,0.66567,0.35711,0.83081,0.82157,0.6377,0.72758,0.52678,0.73271,0.43131,0.82477,0.000108488,0.000108488,0.000108488
77,97918.9,0.66575,0.35625,0.83059,0.82026,0.63854,0.72781,0.52677,0.73256,0.4311,0.82474,0.000100912,0.000100912,0.000100912
78,99214.9,0.66433,0.35548,0.83065,0.82172,0.63775,0.72783,0.5267,0.73245,0.43086,0.82477,9.35865e-05,9.35865e-05,9.35865e-05
79,100486,0.66385,0.35508,0.83017,0.8213,0.63864,0.72805,0.52699,0.73234,0.43051,0.82473,8.65172e-05,8.65172e-05,8.65172e-05
80,101758,0.66408,0.35444,0.83006,0.82313,0.63702,0.72805,0.52718,0.73245,0.43063,0.82471,7.97113e-05,7.97113e-05,7.97113e-05
81,103049,0.66321,0.35422,0.83069,0.82246,0.63769,0.72826,0.52751,0.73253,0.43104,0.82468,7.31756e-05,7.31756e-05,7.31756e-05
82,104342,0.66244,0.3531,0.83035,0.82199,0.63806,0.72775,0.52695,0.73261,0.43138,0.8247,6.69166e-05,6.69166e-05,6.69166e-05
83,105616,0.6629,0.35314,0.83017,0.81842,0.64081,0.7274,0.5264,0.73263,0.43158,0.82475,6.09404e-05,6.09404e-05,6.09404e-05
84,106894,0.66222,0.35265,0.83005,0.81586,0.64235,0.72777,0.52669,0.73262,0.43145,0.82476,5.52529e-05,5.52529e-05,5.52529e-05
